company_name,inventory_month,month,total_opening_value,avg_opening_value,total_receipt_value,avg_receipt_value,total_issue_value,avg_issue_value,total_closing_value,avg_closing_value
MADHU INSTRUMENTS PVT. LTD,2022-08-01,August,0.0,153.33,2300.0,1533.33,1300.0,1318.33,1150.0,460.0
ENTOD PHAMA(ENSIGHT),2022-08-01,August,85517.67,66224.61,90264.8,93800.16,118707.42,101808.34,74448.01,72355.62
SENSES PHARMACEUTICALS LTD,2022-08-01,August,58853.72,61845.25,21946.36,29258.17,40556.39,39897.93,44176.14,54770.01
AUROLAB,2022-08-01,August,11926.99,12729.03,5250.0,2973.1,5540.32,3043.91,12601.99,13137.59
FSD CARE PHRAMA PVT LTD,2022-08-01,August,6208.2,6208.2,0.0,0.0,0.0,0.0,6208.2,6208.2
HIS EYENESS OPTHALMICS,2022-08-01,August,169672.16,178650.37,118215.8,89215.81,114605.62,109652.0,188597.68,171608.8
SUNWAYS PHARMACEUTICALS(OR,2022-08-01,August,41083.84,45978.62,26234.3,30568.71,25134.96,34932.52,45161.17,45191.56
OTHERS,2022-08-01,August,1210.0,520.0,0.0,335.0,0.0,0.0,1210.0,865.0
TASMED(INDIA) PVT.LTD(ASPI,2022-08-01,August,7614.71,6401.42,8428.56,6203.38,8900.07,5963.37,7614.71,7008.07
SHERINGS,2022-08-01,August,15816.54,16977.0,3710.1,4545.27,4425.19,6534.62,15589.54,16356.09
OCUZEN HEALTH CARE,2022-08-01,August,7954.4,8643.8,5207.2,7845.6,8560.67,10430.02,5568.0,7309.34
APPLE PHARMACEUTICALS,2022-08-01,August,9511.02,6312.0,0.0,4853.97,5537.0,5801.73,4066.02,5881.02
DISPOVAN,2022-08-01,August,235.0,297.0,3279.0,2965.33,3335.0,3163.5,410.0,351.67
SUNWAYS PHARMACEUTICALS(RE,2022-08-01,August,22497.72,15864.48,36413.62,25261.56,31556.38,22197.93,31210.83,22031.87
PIONEER,2022-08-01,August,0.0,0.0,420.0,420.0,480.0,480.0,0.0,0.0
EXELTIS,2022-08-01,August,7885.19,7885.19,7885.19,10513.59,19040.0,12902.07,131.42,7928.97
COASTAL HEALTH CARE,2022-08-01,August,44.0,29.33,0.0,14.67,0.0,0.0,44.0,44.0
TASMED (INDIA) PVT LTD(PAS,2022-08-01,August,34442.34,47345.63,37976.06,37653.29,47961.11,48157.42,29171.49,41409.22
CADILA,2022-08-01,August,0.0,0.0,315.0,147.33,337.5,157.5,0.0,0.0
ENTOD PHARMA-G TECH,2022-08-01,August,59134.44,50749.01,18993.86,45575.45,40525.86,51762.01,40353.9,50008.81
HIMEDIA LABORATORIES PVT L,2022-08-01,August,1168.75,1168.75,0.0,0.0,0.0,0.0,1168.75,1168.75
THE RAMARAJU COTTON MILLS,2022-08-01,August,0.0,54.0,486.0,432.0,535.0,531.67,0.0,0.0
ZIVIRA LABS PVT.LTD,2022-08-01,August,250008.58,261470.64,127689.32,104816.04,138546.17,107669.97,276011.4,262554.54
SHERWYN PHARMACEUTICALS PV,2022-08-01,August,515.9,515.9,0.0,0.0,0.0,0.0,515.9,515.9
ALLERGAN INDIA PVT LTD,2022-08-01,August,14902.71,15519.95,6620.58,10179.27,5980.19,9837.45,15801.95,16455.14
ALKEM LABORATORIES LTD,2022-08-01,August,0.0,0.0,188.0,148.5,206.0,163.67,0.0,0.0
DIAMOND MEDI CARE,2022-08-01,August,1160.0,960.0,5320.0,4300.0,3590.0,3836.67,3600.0,2160.0
MEDIPRIDE,2022-08-01,August,258.0,129.0,0.0,129.0,275.0,137.5,0.0,129.0
MURALI TRADERS,2022-08-01,August,0.0,0.0,30.0,30.0,35.0,35.0,0.0,0.0
ETHICON,2022-08-01,August,0.0,0.0,570.35,570.35,680.0,680.0,0.0,0.0
GERMAN REMEDIES,2022-08-01,August,0.0,0.0,120.0,120.0,130.0,130.0,0.0,0.0
SURGICARE,2022-08-01,August,1320.0,1320.0,0.0,719.58,0.0,762.5,1320.0,1320.0
LENORA GLOVE PVT.LTD,2022-08-01,August,662.5,662.5,0.0,0.0,0.0,0.0,662.5,662.5
APPASAMY OCULAR DEVICES P,2022-08-01,August,53955.53,53443.28,22882.2,37694.63,56917.88,55023.52,28673.84,44506.96
SUNWAYS PHARMACEUTICALS,2022-08-01,August,249321.39,203523.48,180579.21,173276.2,264497.83,183050.33,207544.06,226584.47
SHERWYN PHARMA(GENORA),2022-08-01,August,38.58,38.58,0.0,0.0,0.0,0.0,38.58,38.58
ENTOD PHARMACEUTICALS LTD,2022-08-01,August,38589.86,36096.19,45543.25,45710.42,45059.82,48313.93,43605.38,39941.57
BARODA SURGICAL BIOMEDS,2022-08-01,August,0.0,0.0,498.0,524.0,567.0,596.0,0.0,0.0
DYNAMIC TECHNO MEDICALS PV,2022-08-01,August,175.0,175.0,0.0,0.0,0.0,0.0,175.0,175.0
G.T.RAJ TEX,2022-08-01,August,0.0,0.0,188.0,250.67,198.0,264.0,0.0,0.0
ZIVIRA ASTRA DIVISION,2022-08-01,August,112252.45,118357.28,9678.06,34851.22,14785.15,32889.88,126828.43,122645.29
JMS CO LTD,2022-08-01,August,0.0,0.0,3325.0,3088.33,3550.0,3313.33,0.0,0.0
AJANTA PHARMA LTD,2022-08-01,August,9299.91,11231.28,0.0,4173.83,0.0,4110.87,9299.91,11462.03
SUBHAM PHARMACEUTICALS,2022-08-01,August,6060.76,6060.76,0.0,0.0,0.0,0.0,6060.76,6060.76
NEON LABORATORIES LTD,2022-08-01,August,425.0,283.33,773.5,1068.0,426.25,907.92,850.0,566.67
BORN HEALTHCARE PVT LTD,2022-08-01,August,23.5,23.5,350.0,251.67,500.0,310.67,23.5,23.5
MEDIKLIN HEALTHCARE LTD,2022-09-01,September,797.5,555.83,1895.0,1190.0,2230.0,1238.33,942.5,749.17
RAMAN&WEIL PVT LTD,2022-09-01,September,2544.0,1836.0,0.0,926.67,1900.0,810.0,1020.0,2036.0
SANGAM HEALTHCARE (SAFTI-N,2022-09-01,September,127.5,191.25,1275.0,446.25,1380.0,552.5,127.5,127.5
CLARIS OSTUKA,2022-09-01,September,107.0,1141.33,1153.8,1841.27,1325.0,1963.13,0.0,71.33
RAMSONS,2022-09-01,September,112.5,37.5,255.0,510.0,285.0,578.33,112.5,75.0
CIPLA,2022-09-01,September,2369.66,2369.66,0.0,0.0,0.0,0.0,2369.66,2369.66
PRIDE&PRIME PHARMACEUTICAL,2022-09-01,September,10709.31,12466.41,0.0,1017.83,0.0,3083.47,10709.31,11587.86
CARE GROUP,2022-09-01,September,25658.71,32236.43,-3666.24,-1222.08,3919.0,8606.04,17211.06,22865.81
TAS MED(INDIA)PVT.LTD(VALL,2022-09-01,September,29311.36,34525.15,0.0,517.08,4758.96,6997.03,25001.46,28556.28
ENTOD GLOTEK DIVISION,2022-09-01,September,14174.05,20877.51,45991.24,33707.2,45119.31,41096.28,22436.99,20189.24
VKEY,2022-09-01,September,420.0,420.0,0.0,0.0,0.0,0.0,420.0,420.0
HICARE PHARMA,2022-09-01,September,41439.99,37524.28,13647.7,10865.83,12355.01,9463.04,42230.09,39849.82
AMERICAN PHARMA REMEDIES L,2022-09-01,September,0.0,0.0,400.0,300.0,0.0,106.25,400.0,200.0
MADHU INSTRUMENTS PVT. LTD,2022-09-01,September,1150.0,460.0,0.0,1150.0,780.0,1211.67,460.0,536.67
ENTOD PHAMA(ENSIGHT),2022-09-01,September,74448.01,72355.63,82650.25,93848.37,108936.83,106626.8,62061.92,74009.19
SENSES PHARMACEUTICALS LTD,2022-09-01,September,44176.14,54770.04,38100.95,26885.77,52248.77,39607.35,35856.37,46295.41
AUROLAB,2022-09-01,September,12601.99,13137.59,16771.19,7340.4,10206.48,6316.37,21194.24,15241.07
FSD CARE PHRAMA PVT LTD,2022-09-01,September,6208.2,6208.2,0.0,0.0,0.0,0.0,6208.2,6208.2
HIS EYENESS OPTHALMICS,2022-09-01,September,188597.93,171609.05,147297.3,122421.93,165922.74,129343.01,193194.83,183821.46
SUNWAYS PHARMACEUTICALS(OR,2022-09-01,September,45161.17,45191.6,43950.82,29301.24,36376.9,29920.74,58744.92,48329.96
TASMED(INDIA) PVT.LTD(ASPI,2022-09-01,September,7614.71,7008.07,2987.88,6203.38,8111.46,7681.31,2987.88,6072.43
SHERINGS,2022-09-01,September,15589.54,16356.09,3182.5,4708.2,6692.17,7418.41,13553.39,14986.49
OCUZEN HEALTH CARE,2022-09-01,September,5568.0,7309.34,0.0,5038.4,0.0,6908.18,5568.0,6363.47
APPLE PHARMACEUTICALS,2022-09-01,September,4066.02,5881.02,0.0,1699.5,0.0,1845.67,4066.02,5881.02
SUNWAYS PHARMACEUTICALS(RE,2022-09-01,September,31210.83,22031.87,31413.05,29129.31,25229.07,22951.1,40184.34,31297.63
OTHERS,2022-09-01,September,1210.0,865.0,0.0,335.0,0.0,0.0,1210.0,1210.0
DISPOVAN,2022-09-01,September,410.0,351.67,3397.0,3038.17,3697.5,3298.33,410.0,351.67
PIONEER,2022-09-01,September,0.0,0.0,840.0,630.0,960.0,720.0,0.0,0.0
EXELTIS,2022-09-01,September,131.42,7929.0,0.0,2628.4,0.0,9702.07,131.42,2716.01
COASTAL HEALTH CARE,2022-09-01,September,44.0,44.0,0.0,0.0,0.0,0.0,44.0,44.0
TASMED (INDIA) PVT LTD(PAS,2022-09-01,September,29171.49,41409.26,21927.61,26897.76,37142.77,45108.72,16923.93,26845.89
CADILA,2022-09-01,September,0.0,0.0,63.0,147.17,0.0,135.0,63.0,21.0
ENTOD PHARMA-G TECH,2022-09-01,September,40353.9,50008.81,60384.8,48138.21,58119.14,54246.74,50817.13,50101.82
HIMEDIA LABORATORIES PVT L,2022-09-01,September,1168.75,1168.75,0.0,0.0,0.0,0.0,1168.75,1168.75
THE RAMARAJU COTTON MILLS,2022-09-01,September,0.0,0.0,1296.0,756.0,1425.0,828.33,0.0,0.0
ZIVIRA LABS PVT.LTD,2022-09-01,September,276011.82,262554.9,0.0,77475.91,121377.22,118261.43,134688.85,220236.15
SHERWYN PHARMACEUTICALS PV,2022-09-01,September,515.9,515.9,0.0,0.0,0.0,0.0,515.9,515.9
ALLERGAN INDIA PVT LTD,2022-09-01,September,15801.95,16455.14,6425.47,6111.93,8927.53,8093.82,13535.87,14746.84
ALKEM LABORATORIES LTD,2022-09-01,September,0.0,0.0,466.0,251.33,301.0,205.67,187.0,62.33
DIAMOND MEDI CARE,2022-09-01,September,3600.0,2160.0,4120.0,3906.67,8980.0,5370.0,500.0,1753.33
SURGICARE,2022-09-01,September,1320.0,1320.0,1747.5,1157.5,962.5,929.17,2190.0,1610.0
LENORA GLOVE PVT.LTD,2022-09-01,September,662.5,662.5,0.0,0.0,0.0,0.0,662.5,662.5
ABBOTT HEALTHCARE PVT. LTD,2022-09-01,September,0.0,0.0,550.0,550.0,609.0,609.0,0.0,0.0
APPASAMY OCULAR DEVICES P,2022-09-01,September,28673.84,44506.96,89525.25,51302.58,113558.9,71912.59,29130.08,37253.15
SEARLE,2022-09-01,September,0.0,0.0,57.5,57.5,0.0,32.5,57.5,28.75
SUNWAYS PHARMACEUTICALS,2022-09-01,September,207544.28,226584.7,249960.39,204575.0,274759.85,247061.87,223055.99,226640.37
SHERWYN PHARMA(GENORA),2022-09-01,September,38.58,38.58,0.0,0.0,0.0,0.0,38.58,38.58
ENTOD PHARMACEUTICALS LTD,2022-09-01,September,43605.38,39941.57,31491.32,39328.42,47661.92,46377.91,34042.2,38745.81
BARODA SURGICAL BIOMEDS,2022-09-01,September,0.0,0.0,56.0,368.0,63.0,418.33,0.0,0.0
DYNAMIC TECHNO MEDICALS PV,2022-09-01,September,175.0,175.0,0.0,0.0,0.0,0.0,175.0,175.0
G.T.RAJ TEX,2022-09-01,September,0.0,0.0,188.0,250.67,198.0,264.0,0.0,0.0
ZIVIRA ASTRA DIVISION,2022-09-01,September,126828.62,122645.45,0.0,13031.45,27147.61,26384.05,90395.76,109825.5
JMS CO LTD,2022-09-01,September,0.0,0.0,2680.0,3211.67,2130.0,3195.0,708.0,236.0
AJANTA PHARMA LTD,2022-09-01,September,9299.91,11462.03,0.0,0.0,3157.99,3306.79,6270.82,8290.21
SUBHAM PHARMACEUTICALS,2022-09-01,September,6060.76,6060.76,0.0,0.0,0.0,0.0,6060.76,6060.76
NEON LABORATORIES LTD,2022-09-01,September,850.0,566.67,850.0,835.67,1813.5,1072.42,0.0,425.0
BORN HEALTHCARE PVT LTD,2022-09-01,September,23.5,23.5,40.5,152.67,50.0,207.33,23.5,23.5
MEDIKLIN HEALTHCARE LTD,2022-10-01,October,942.5,749.17,290.0,1086.67,360.0,1178.33,942.5,894.17
RAMAN&WEIL PVT LTD,2022-10-01,October,1020.0,2036.0,0.0,0.0,370.0,756.67,720.0,1428.0
3M,2022-10-01,October,0.0,0.0,528.0,704.0,600.0,800.0,0.0,0.0
SANGAM HEALTHCARE (SAFTI-N,2022-10-01,October,127.5,127.5,637.5,637.5,840.0,740.0,0.0,85.0
CLARIS OSTUKA,2022-10-01,October,0.0,71.33,2017.3,1703.57,1894.0,1755.67,214.0,107.0
RAMSONS,2022-10-01,October,112.5,75.0,575.0,450.0,665.0,475.0,112.5,112.5
CIPLA,2022-10-01,October,2369.66,2369.66,0.0,0.0,0.0,0.0,2369.66,2369.66
PRIDE&PRIME PHARMACEUTICAL,2022-10-01,October,10709.31,11587.86,0.0,1017.83,0.0,3083.47,10709.31,10709.31
CARE GROUP,2022-10-01,October,17211.06,22865.81,2970.0,-232.08,2850.0,2285.73,17811.06,20226.94
REGAL LABORATORIES,2022-10-01,October,0.0,0.0,590.0,565.0,620.0,600.0,0.0,0.0
TAS MED(INDIA)PVT.LTD(VALL,2022-10-01,October,25001.46,28556.28,6187.73,2309.83,3150.21,3656.37,27957.97,27423.6
ENTOD GLOTEK DIVISION,2022-10-01,October,22436.99,20189.24,25635.79,31072.18,35025.92,38751.42,17320.4,17977.15
VKEY,2022-10-01,October,420.0,420.0,0.0,0.0,300.0,100.0,210.0,350.0
HICARE PHARMA,2022-10-01,October,42230.09,39849.82,24912.9,16158.13,21743.51,14524.43,48421.68,44030.59
TEKAY PRODUCTS,2022-10-01,October,0.0,0.0,200.0,200.0,230.0,240.0,0.0,0.0
AMERICAN PHARMA REMEDIES L,2022-10-01,October,400.0,133.33,0.0,200.0,425.0,212.5,0.0,133.33
MADHU INSTRUMENTS PVT. LTD,2022-10-01,October,460.0,536.67,0.0,766.67,0.0,693.33,460.0,690.0
ENTOD PHAMA(ENSIGHT),2022-10-01,October,62061.92,74009.2,103096.83,92003.96,110816.53,112820.26,68757.72,68422.55
SENSES PHARMACEUTICALS LTD,2022-10-01,October,35856.37,46295.41,47857.79,35968.37,32247.66,41684.27,53559.05,44530.52
AUROLAB,2022-10-01,October,21194.24,15241.07,4750.0,8923.73,19800.0,11848.93,9862.24,14552.82
FSD CARE PHRAMA PVT LTD,2022-10-01,October,6208.2,6208.2,0.0,0.0,0.0,0.0,6208.2,6208.2
HIS EYENESS OPTHALMICS,2022-10-01,October,193195.18,183821.76,143534.1,136349.07,123486.64,134671.67,225994.52,202595.68
SUNWAYS PHARMACEUTICALS(OR,2022-10-01,October,58745.0,48330.0,21818.44,30667.85,47772.42,36428.09,35555.56,46487.22
TASMED(INDIA) PVT.LTD(ASPI,2022-10-01,October,2987.88,6072.43,9133.33,6849.92,9945.43,8985.65,2987.88,4530.16
OTHERS,2022-10-01,October,1210.0,1210.0,33.0,11.0,0.0,0.0,1243.0,1221.0
SHERINGS,2022-10-01,October,13553.39,14986.49,22103.0,9665.2,26235.0,12450.79,12052.25,13731.73
DISPOVAN,2022-10-01,October,410.0,351.67,1999.5,2891.83,1613.0,2881.83,940.0,586.67
OCUZEN HEALTH CARE,2022-10-01,October,5568.0,6363.47,0.0,1735.73,0.0,2853.56,5568.0,5568.0
APPLE PHARMACEUTICALS,2022-10-01,October,4066.02,5881.02,5445.0,1815.0,0.0,1845.67,9511.02,5881.02
SUNWAYS PHARMACEUTICALS(RE,2022-10-01,October,40184.34,31297.63,45269.16,37698.61,47229.68,34671.71,43255.39,38216.85
EXELTIS,2022-10-01,October,131.42,2716.01,0.0,2628.4,0.0,6346.67,131.42,131.42
CADILA,2022-10-01,October,63.0,21.0,126.0,168.0,140.0,159.17,63.0,42.0
ENTOD PHARMA-G TECH,2022-10-01,October,50817.22,50101.85,35527.89,38302.18,52518.57,50387.86,38132.9,43101.31
COASTAL HEALTH CARE,2022-10-01,October,44.0,44.0,0.0,0.0,0.0,0.0,44.0,44.0
TASMED (INDIA) PVT LTD(PAS,2022-10-01,October,16923.93,26845.92,23225.9,27709.86,23997.86,36367.25,18030.22,21375.21
HIMEDIA LABORATORIES PVT L,2022-10-01,October,1168.75,1168.75,0.0,0.0,0.0,0.0,1168.75,1168.75
THE RAMARAJU COTTON MILLS,2022-10-01,October,0.0,0.0,486.0,756.0,540.0,833.33,0.0,0.0
ZIVIRA LABS PVT.LTD,2022-10-01,October,134688.97,220236.46,0.0,42563.11,49641.19,103188.19,73564.33,161421.53
SHERWYN PHARMACEUTICALS PV,2022-10-01,October,515.9,515.9,0.0,0.0,0.0,0.0,515.9,515.9
ALLERGAN INDIA PVT LTD,2022-10-01,October,13535.87,14746.84,8876.84,7307.63,9767.69,8225.14,13151.47,14163.1
ALKEM LABORATORIES LTD,2022-10-01,October,187.0,62.33,206.0,286.67,220.0,242.33,206.0,131.0
DIAMOND MEDI CARE,2022-10-01,October,500.0,1753.33,160.0,3200.0,180.0,4250.0,500.0,1533.33
SURGICARE,2022-10-01,October,2190.0,1610.0,425.0,724.17,993.75,652.08,1740.0,1750.0
LENORA GLOVE PVT.LTD,2022-10-01,October,662.5,662.5,0.0,0.0,0.0,0.0,662.5,662.5
APPASAMY OCULAR DEVICES P,2022-10-01,October,29130.08,37253.15,50824.26,54410.57,41930.9,70802.56,44978.55,34260.82
SEARLE,2022-10-01,October,57.5,19.17,0.0,38.33,0.0,21.67,57.5,38.33
SUNWAYS PHARMACEUTICALS,2022-10-01,October,223056.2,226640.62,203228.61,211256.07,219105.39,252787.69,247075.49,225891.85
SHERWYN PHARMA(GENORA),2022-10-01,October,38.58,38.58,0.0,0.0,0.0,0.0,38.58,38.58
ENTOD PHARMACEUTICALS LTD,2022-10-01,October,34042.2,38745.81,56424.43,44486.33,39783.35,44168.36,55588.64,44412.07
DYNAMIC TECHNO MEDICALS PV,2022-10-01,October,175.0,175.0,0.0,0.0,0.0,0.0,175.0,175.0
G.T.RAJ TEX,2022-10-01,October,0.0,0.0,564.0,313.33,198.0,198.0,376.0,125.33
ZIVIRA ASTRA DIVISION,2022-10-01,October,90395.88,109825.65,0.0,3226.02,26102.32,22678.36,57259.66,91494.62
JMS CO LTD,2022-10-01,October,708.0,236.0,3420.0,3141.67,2585.0,2755.0,1770.0,826.0
AJANTA PHARMA LTD,2022-10-01,October,6270.82,8290.21,0.0,0.0,0.0,1052.66,6270.82,7280.52
SUBHAM PHARMACEUTICALS,2022-10-01,October,6060.76,6060.76,0.0,0.0,0.0,0.0,6060.76,6060.76
NEON LABORATORIES LTD,2022-10-01,October,0.0,425.0,1688.0,1103.83,1120.0,1119.92,671.0,507.0
BORN HEALTHCARE PVT LTD,2022-10-01,October,23.5,23.5,117.5,169.33,125.0,225.0,23.5,23.5
MEDIKLIN HEALTHCARE LTD,2022-11-01,November,942.5,894.17,0.0,728.33,0.0,863.33,942.5,942.5
RAMAN&WEIL PVT LTD,2022-11-01,November,720.0,1428.0,0.0,0.0,0.0,756.67,720.0,820.0
CLARIS OSTUKA,2022-11-01,November,214.0,107.0,1608.6,1593.23,1903.0,1707.33,0.0,71.33
RAMSONS,2022-11-01,November,112.5,112.5,425.0,418.33,475.0,475.0,112.5,112.5
CIPLA,2022-11-01,November,2369.66,2369.66,0.0,0.0,0.0,0.0,2369.66,2369.66
GLASS VAN,2022-11-01,November,0.0,0.0,500.0,252.83,540.0,271.67,0.0,0.0
PRIDE&PRIME PHARMACEUTICAL,2022-11-01,November,10709.31,10709.31,0.0,0.0,0.0,0.0,10709.31,10709.31
CARE GROUP,2022-11-01,November,17811.06,20226.94,5327.0,1543.59,4581.0,3783.33,19211.06,18077.73
TAS MED(INDIA)PVT.LTD(VALL,2022-11-01,November,27957.97,27423.6,-16374.46,-3395.58,6747.26,4885.48,5134.84,19364.76
ENTOD GLOTEK DIVISION,2022-11-01,November,17320.4,17977.15,40568.03,37398.35,49120.68,43088.64,16242.86,18666.75
VKEY,2022-11-01,November,210.0,350.0,0.0,0.0,300.0,200.0,0.0,210.0
HICARE PHARMA,2022-11-01,November,48421.68,44030.59,9757.4,16106.0,31992.7,22030.41,23222.06,37957.94
MADHU INSTRUMENTS PVT. LTD,2022-11-01,November,460.0,690.0,0.0,0.0,0.0,260.0,460.0,460.0
ENTOD PHAMA(ENSIGHT),2022-11-01,November,68757.72,68422.55,124978.12,103575.07,149637.27,123130.21,69515.55,66778.4
SENSES PHARMACEUTICALS LTD,2022-11-01,November,53559.05,44530.52,39942.67,41967.14,46141.9,43546.11,52454.32,47289.91
AUROLAB,2022-11-01,November,9862.24,14552.82,3362.5,8294.56,9965.92,13324.13,5020.1,12025.53
FSD CARE PHRAMA PVT LTD,2022-11-01,November,6208.2,6208.2,0.0,0.0,0.0,0.0,6208.2,6208.2
HIS EYENESS OPTHALMICS,2022-11-01,November,225995.02,202596.04,217674.2,169501.87,186520.24,158643.21,276574.45,231921.27
SUNWAYS PHARMACEUTICALS(OR,2022-11-01,November,35555.56,46487.24,14666.92,26812.06,22451.65,35533.66,30392.51,41564.33
TASMED(INDIA) PVT.LTD(ASPI,2022-11-01,November,2987.88,4530.16,2987.88,5036.36,3253.6,7103.5,2987.88,2987.88
SHERINGS,2022-11-01,November,12052.25,13731.73,6364.0,10549.83,1244.51,11390.56,15532.87,13712.84
OCUZEN HEALTH CARE,2022-11-01,November,5568.0,5568.0,0.0,0.0,0.0,0.0,5568.0,5568.0
APPLE PHARMACEUTICALS,2022-11-01,November,9511.02,5881.02,0.0,1815.0,9439.0,3146.33,900.0,4825.68
SUNWAYS PHARMACEUTICALS(RE,2022-11-01,November,43255.45,38216.87,49326.53,42002.91,43073.5,38510.75,54273.21,45904.31
PIONEER,2022-11-01,November,0.0,0.0,400.0,553.33,460.0,633.33,0.0,0.0
EXELTIS,2022-11-01,November,131.42,131.42,15770.38,5256.79,19200.0,6400.0,131.42,131.42
CADILA,2022-11-01,November,63.0,42.0,126.0,105.0,210.0,116.67,0.0,42.0
ENTOD PHARMA-G TECH,2022-11-01,November,38132.9,43101.34,19126.28,38346.32,30204.56,46947.42,28956.39,39302.14
OTHERS,2022-11-01,November,1243.0,1221.0,0.0,11.0,39.0,13.0,1210.0,1221.0
DISPOVAN,2022-11-01,November,940.0,586.67,2729.5,2708.67,3937.5,3082.67,0.0,450.0
COASTAL HEALTH CARE,2022-11-01,November,44.0,44.0,0.0,0.0,0.0,0.0,44.0,44.0
TASMED (INDIA) PVT LTD(PAS,2022-11-01,November,18030.22,21375.21,14878.91,20010.81,26894.31,29344.98,9399.49,14784.55
HIMEDIA LABORATORIES PVT L,2022-11-01,November,1168.75,1168.75,0.0,0.0,0.0,0.0,1168.75,1168.75
THE RAMARAJU COTTON MILLS,2022-11-01,November,0.0,0.0,162.0,648.0,175.0,713.33,0.0,0.0
ZIVIRA LABS PVT.LTD,2022-11-01,November,73564.39,161421.73,94752.8,31584.27,78934.22,83317.54,149436.26,119229.81
SHERWYN PHARMACEUTICALS PV,2022-11-01,November,515.9,515.9,0.0,0.0,0.0,0.0,515.9,515.9
ALLERGAN INDIA PVT LTD,2022-11-01,November,13151.47,14163.1,0.0,5100.77,7136.91,8610.71,6388.47,11025.27
ALKEM LABORATORIES LTD,2022-11-01,November,206.0,131.0,114.0,262.0,348.0,289.67,0.0,131.0
DIAMOND MEDI CARE,2022-11-01,November,500.0,1533.33,320.0,1533.33,350.0,3170.0,500.0,500.0
SURGICARE,2022-11-01,November,1740.0,1750.0,425.0,865.83,481.25,812.5,1740.0,1890.0
LENORA GLOVE PVT.LTD,2022-11-01,November,662.5,662.5,0.0,0.0,0.0,0.0,662.5,662.5
APPASAMY OCULAR DEVICES P,2022-11-01,November,44978.55,34260.82,39844.8,60064.77,49679.96,68389.92,42522.9,38877.18
SEARLE,2022-11-01,November,57.5,38.33,0.0,19.17,65.0,21.67,0.0,38.33
SUNWAYS PHARMACEUTICALS,2022-11-01,November,247075.75,225892.08,251832.82,235007.27,233880.44,242581.89,310122.82,260084.77
SHERWYN PHARMA(GENORA),2022-11-01,November,38.58,38.58,0.0,0.0,0.0,0.0,38.58,38.58
ENTOD PHARMACEUTICALS LTD,2022-11-01,November,55588.67,44412.08,61028.71,49648.15,58182.81,48542.69,65731.63,51787.49
BARODA SURGICAL BIOMEDS,2022-11-01,November,0.0,0.0,56.0,203.33,64.0,231.33,0.0,0.0
DYNAMIC TECHNO MEDICALS PV,2022-11-01,November,175.0,175.0,0.0,0.0,0.0,0.0,175.0,175.0
G.T.RAJ TEX,2022-11-01,November,376.0,125.33,0.0,250.67,396.0,264.0,0.0,125.33
ZIVIRA ASTRA DIVISION,2022-11-01,November,57259.79,91494.76,36442.8,12147.6,41758.83,31669.59,56355.34,68003.59
JMS CO LTD,2022-11-01,November,1770.0,826.0,3861.0,3320.33,5920.0,3545.0,0.0,826.0
SUBHAM PHARMACEUTICALS,2022-11-01,November,6060.76,6060.76,0.0,0.0,0.0,0.0,6060.76,6060.76
NEON LABORATORIES LTD,2022-11-01,November,671.0,507.0,615.0,1051.0,1384.0,1439.17,0.0,223.67
BORN HEALTHCARE PVT LTD,2022-11-01,November,23.5,23.5,0.0,52.67,0.0,58.33,23.5,23.5
MEDIKLIN HEALTHCARE LTD,2022-12-01,December,942.5,942.5,580.0,290.0,530.0,296.67,1087.5,990.83
RAMAN&WEIL PVT LTD,2022-12-01,December,720.0,820.0,2244.0,748.0,2230.0,866.67,928.0,789.33
3M,2022-12-01,December,0.0,0.0,282.0,622.0,636.0,812.0,0.0,0.0
SANGAM HEALTHCARE (SAFTI-N,2022-12-01,December,0.0,85.0,637.5,850.0,140.0,786.67,510.0,212.5
CLARIS OSTUKA,2022-12-01,December,0.0,71.33,1215.8,1613.9,1284.0,1693.67,0.0,71.33
RAMSONS,2022-12-01,December,112.5,112.5,150.0,383.33,190.0,443.33,112.5,112.5
CIPLA,2022-12-01,December,2369.66,2369.66,0.0,0.0,0.0,0.0,2369.66,2369.66
PRIDE&PRIME PHARMACEUTICAL,2022-12-01,December,10709.31,10709.31,0.0,0.0,0.0,0.0,10709.31,10709.31
SPECTRUM BIOCIDES INDIA PV,2022-12-01,December,0.0,0.0,385.0,385.0,430.0,430.0,0.0,0.0
CARE GROUP,2022-12-01,December,19211.06,18077.73,0.0,2765.67,360.0,2597.0,18911.06,18644.39
JOHNSON & JOHNSON,2022-12-01,December,0.0,0.0,1437.36,2375.84,1620.0,2732.88,0.0,0.0
TAS MED(INDIA)PVT.LTD(VALL,2022-12-01,December,5134.84,19364.76,4820.75,-1788.66,6929.58,5609.02,3849.06,12313.96
ENTOD GLOTEK DIVISION,2022-12-01,December,16242.86,18666.75,58508.39,41570.74,51489.79,45212.13,32005.28,21856.18
HICARE PHARMA,2022-12-01,December,23222.06,37957.94,13653.8,16108.03,20042.52,24592.91,18409.04,30017.59
MADHU INSTRUMENTS PVT. LTD,2022-12-01,December,460.0,460.0,0.0,0.0,0.0,0.0,460.0,460.0
ENTOD PHAMA(ENSIGHT),2022-12-01,December,69515.55,66778.4,96524.55,108199.83,111240.6,123898.13,73285.57,70519.61
SENSES PHARMACEUTICALS LTD,2022-12-01,December,52454.32,47289.91,18285.75,35362.07,23712.7,34034.09,50035.94,52016.44
